sondern	а
der Ober, - (D, A) → Kellner - CH: Serviceangestellter	официант
der Umweltschutz	охрана окруж среды
schätzen, schätzt, schätzte, hat geschätzt	оценивать
offenbar	очевидный
sehr	очень
sich klären	очищаться
die Brille, -n	очки
der Fehler, -	ошибка
fallen, fällt, fiel, ist gefallen	падать
sinken, sinkt, sank, ist gesunken	падать
der Fall, ¨-e	падение
das Puzzle, -s	пазл
das Paket, -e	пакет
die Tüte, -n	пакет
das Zelt, -e	палатка
das Camp, -s	палаточный лагерь 
der Finger, -	палец
der Mantel, ¨-	пальто
das Denkmal, ¨-er	памятник
die Erinnerung, -en	память
die Mappe, -n	папка
das Paar, -e	пара
parallel	параллельный
der Coiffeur, -e die Coiffeuse, -n (CH) → D, A: Friseur	парикмахер
der Friseur, -e die Friseurin, -nen (D, A) → CH: Coiffeur	парикмахер
der Park, -s	парк
parkieren, parkiert, parkierte, hat parkiert (CH) → D, A: parken	парковать
das Parlament, das Europäische Parlament	парламент
Doppel	парная игра
die Fähre, -n	паром
die Partei, -en	партия
der Partner, - die Partnerin, -nen	партнер
der Pass, ¨-e	паспорт заграничный
der Passagier, -e die Passagierin, -nen	пассажир
passiv	пассивный
das Ostern	Пасха
die Pause, -n	пауза
pauschal	паушальный
der Patient, -en die Patientin, -nen	пациент
der Sänger, - die Sängerin, -nen	певец
die Bäckerei, -en	пекарня
der Rentner, - die Rentnerin, -nen (D, CH) → A: Pensionist	пенсионер
der Pensionist, -en / die Pensionistin, -nen (A) → D, CH: Rentner	пенсионер отставной чиновник
die Pension, -en (A, CH) → D, CH: Rente	пенсия
der Vormittag, -e	первая половина дня
prima	первоклассный
der/die/das erste	первый
erst	первый
das Erdgeschoss/ Ergeschoß, -e	первый этаж
die Übersetzung, -en	перевод
die Überweisung, - en	перевод
übersetzen, übersetzt, übersetzte, hat übersetzt	переводить
überweisen, überweist, überwies, hat überwiesen	переводить
der Übersetzer, - die Übersetzerin, -nen	переводчик о человеке
umziehen, zieht um, zog um, ist umgezogen	перевозить
verbinden, verbindet, verband, hat verbunden	перевязывать
vor vor allem	перед
ausrichten, richtet aus, richtete aus, hat ausgerichtet	передавать
abgeben, gibt ab, gab ab, hat abgegeben	передать
die Durchsage, -n	передача сообщения
die Durchsage, -n	передача сообщения по радио
mobil/mobil	передвижной
vorderen	передних
der Umzug, ¨-e	переезд
ziehen, zieht, zog, hat/ist gezogen	переезжать
das Erlebnis, -se	переживание
erleben, erlebt, erlebte, hat erlebt	переживать
die Umleitung, -en	перенаправление
übertragen	переносить
sich umziehen, zieht sich um, zog sich um, hat sich umgezogen	переодеваться
abschreiben, schreibt ab, schrieb ab, hat abgeschrieben	переписывать
überfahren, überfährt, überfuhr, hat überfahren	переправлять
verwechseln, verwechselt, verwechselte, hat verwechselt	перепутать
umsteigen, steigt um, stieg um, ist umgestiegen	пересаживаться
überqueren, überquert, überquerte, hat überquert	пересекать
der Pfeffer	перец
senkrecht	перпендикулярный
der Bahnsteig, -e	перрон
der Perron, -s (CH) → D, A: Bahnsteig	перрон
die Person, -en	персона
das Personal	персонал
der Song, -s	песня
das Lied, -er	песня
der Sand	песок
bunt	пестрый
farbig	пестрый
das Hähnchen/Hühnchen, - (D) → A: Hend(e)l; Poulet, -s (CH)	петушок
singen, singt, sang, hat gesungen	петь
kümmern, kümmert, kümmerte, hat gekümmert	печалить
sich kümmern, kümmert sich, kümmerte sich, hat sich gekümmert um A	печалиться
traurig	печальный
drucken, druckt, druckte, hat gedruckt	печатать
der Stempel, -	печать
das Gebäck	печенье
backen, bäckt/backt, backte, hat gebacken	печь
der Fußgänger, - die Fußgängerin, -nen	пешеход
die Fußgängerzone, -n	пешеходная зона
das Klavier, -e	пианино
das Bier	пиво
das Picknick, -s die Pille, -n	пикник
der Pinguin, -e	пингвин
der Kuchen, -	пирог
der Schriftsteller, - die Schriftstellerin, -nen	писатель
schreiben, schreibt, schrieb, hat geschrieben	писать
schriftlich	письменный
der Brief, -e	письмо
die Schrift, -en	письмо
trinken, trinkt, trank, hat getrunken	пить
die Pizza, -s/Pizzen	пицца
schwimmen, schwimmt, schwamm, ist geschwommen	плавать
fließend	плавный
das Plakat, -e	плакат
weinen, weint, weinte, hat geweint	плакать
der Plan, ¨-e	план
der Stadtplan, ¨-e	план города
der Fahrplan, ¨-e	план поездки
die Planung, -en	планирование
planen, plant, plante, hat geplant	планировать
die Miete, -n	плата за наем
die Einzahlung, -en	платеж
die Zahlung, -en	платеж
bezahlen, bezahlt, bezahlte, hat bezahlt	платить
einzahlen, zahlt ein, zahlte ein, hat eingezahlt	платить
zahlen, zahlt, zahlte, hat gezahlt	платить
das Tuch, ¨-er	платок
das Kleid, -er	платье
der CD-Player, -	плеер
der Neffe, -n	племянник
die Nichte, -n	племянница
der Film, -e	пленка
die Schulter, -n	плечо
der Herd, -e	плита
die Frucht, ¨-e	плод
Früchte (CH) → D, A: Obst	плоды
flach	плоский
böse	плохой
schlecht	плохой
schlimm	плохой
die Plattform, -en	площадка
die Fläche, -n	площадь
der Platz, ¨-e	площадь
plus	плюс
(+) 4°C = vier Grad über Null/ plus vier Grad	плюс 4 градуса
der Strand, ¨-e	пляж
wochentags, werktags	по будням
möglichst	по возможности
am Wochenende	по выходным
mindestens	по меньшей мере
zumindest	по меньшей мере
nachts, in der Nacht	по ночам
der Sieg, -e	победа
der Sieger, - die Siegerin, -nen	победитель
siegen, siegt, siegte, hat gesiegt	побеждать
die Küste, -n	побережье
nebenan	поблизости
der Koch, ¨-e die Köchin, -nen	повар
das Verhalten	поведение
drehen, dreht, drehte, hat gedreht	поворачивать
(sich) umdrehen, dreht um, drehte um, hat umgedreht	поворачивать
wenden, wendet, wendete, hat gewendet	поворачивать
(sich) verletzen, verletzt, verletzte, hat verletzt	повредить
beschädigen, beschädigt, beschädigte, hat beschädigt	повреждать
alltäglich	повседневный
überall	повсюду
die Wiederholung, -en	повтор
wiederholen, wiederholt, wiederholte, hat wiederholt	повторить
die Weiterbildung, -en	повышение уровня знаний
das Wetter	погода
der Keller, -	погреб
tauchen, taucht, tauchte, ist/hat getaucht	погружать
unter	под
unter-	под
im Freien	под открытым небом
reichen, reicht, reichte, hat gereicht	подавать
beantragen, beantragt, beantragte, hat beantragt	подавать заявление
sich bewerben, bewirbt sich, bewarb sich, hat sich beworben	подавать заявление
das Geschenk, -e	подарок
die Ampel, -n	подвесная лампа
die Mobilität, -en	подвижность
die Vorbereitung, -en	подготовка
die Unterstützung, -en	поддержка
der Anschluss, ¨-e	подключение
fällig	подлежащий исполнению
eigentlich	подлинный
aufheben, hebt auf, hob auf, hat aufgehoben	поднимать
aufnehmen, nimmt auf, nahm auf, hat aufgenommen	поднимать
heben, hebt, hob, hat gehoben	поднимать
steigen, steigt, stieg, ist gestiegen	подниматься
der Verdacht, -dächte	подозрение
verdächtig	подозрительный
unterschreiben, unterschreibt, unterschrieb, hat unterschrieben	подписывать
abonnieren, abonniert, abonnierte, hat abonniert	подписываться
die Unterschrift, -en	подпись
jobben	подрабатывать
die Einzelheit, -en	подробность
der Jugendliche, -n die Jugendliche, -nen	подросток
bestätigen, bestätigt, bestätigte, hat bestätigt	подтверждать
die Bestätigung, -en	подтверждение
das Kissen, -	подушка
unterstreichen, unterstreicht, unterstrich, hat unterstrichen	подчеркивать
der Lift, -e → D, A: Aufzug	подъемний кресельный горнолыжный
der Zug, ¨-e	поезд
die Reise, -n	поездка
bitte	пожалуйста
die Feuerwehr, -en	пожарная часть
vorgestern	позавчера
hinterher	позади
spät	поздний
der Glückwunsch, ¨-e	поздравление
die Gratulation, -en	поздравление
gratulieren, gratuliert, gratulierte, hat gratuliert (j-m zu D)	поздравлять
der Standpunkt, -e	позиция
sich kennenlernen	познакомиться друг с другом
solange	пока
zeigen, zeigt, zeigte, hat gezeigt	показывать
der Tote, -n die Tote, -n	покойник
die Generation, -en	поколение
die Decke, -n	покров
der Käufer, - die Käuferin, -nen	покупатель
einkaufen, kauft ein, kaufte ein, hat eingekauft	покупать
(sich etwas) kaufen, kauft, kaufte, hat gekauft	покупать
der Kauf, Käufe	покупка
das Geschlecht, -er	пол
meinen, meint, meinte, hat gemeint	полагать
der Mittag, -e	полдень
die Jause, -n (A) → D: Imbiss; CH: Znüni/Zvieri	полдник
das/der Zvieri/Znüni, -s (CH) → D: Imbiss; A: Jause	полдник
das Feld, -er	поле
nützlich	полезный
der Tipp, -s	полезный совет
der Flug, ¨-e	полет
der Politiker, - die Politikerin, -nen	политик
die Politik	политика
politische	политический
politisch	политический
der Polizist, -en die Polizistin, -nen	полицейский
die Polizei	полиция
das Fach, ¨-er	полка
das Regal, -e	полка
die Mitternacht, -, ..nächte	полночь
komplett	полный
unbedingt	полный
voll	полный
völlig	полный
die Vollzeit	полный рабочий день
½ = ein halb; halb …	половина
halb	половина
die Hälfte, -n	половина
halb drei	половина третьего
positiv	положительный
überlegen, überlegt, überlegte, hat überlegt	положить
spülen, spült, spülte, hat gespült	полоскать
das Semester, -	полугодие
die Halbpension	полупансион
der Empfänger, -	получатель
bekommen, bekommt, bekam, hat bekommen	получать
erhalten, erhält, erhielt, hat erhalten sich erhalten	получать
kriegen, kriegt, kriegte, hat gekriegt	получать
einnehmen, nimmt ein, nahm ein, hat eingenommen	получать доход
der User, -/die Userin, -nen	пользователь
benutzen, benutzt, benutzte, hat benutzt	пользоваться
nützen, nützt, nützte, hat genützt	пользоваться
helfen, hilft, half, hat geholfen	помогать
die Aushilfe, -n	помощь
die Förderung, -en	помощь
die Hilfe	помощь
die Nachhilfe, -n	помощь
der Montag, montags, am Montag	понедельник
das Verständnis	понимание
begreifen	понимать
(sich) verstehen, versteht, verstand, hat verstanden	понимать
der Begriff, -(e)s, -e	понятие
verständlich	понятный
quer	поперечный
populär	популярный
der Versuch, -e	попытка
der Laster, -	порок грузовик разг
der Hafen, ¨-	порт
kaputtmachen sich kaputtmachen	портить
kaputtgehen	портиться
der Auftrag, ¨-e	поручение
die Portion, -en	порция еды
die Ordnung	порядок
fair	порядочный
die Ordination, -en (A) → Praxis	посвящение в сан
der Besuch, -e	посещение
die Botschaft, -en	послание
nachher	после
nachmittags, am Nachmittag	после обеда
nachdem	после того как
danach	после этого
letzt-	последний
die Reihenfolge, -n	последовательность
übermorgen	послезавтра
der Nachmittag, -e	послеобеденное время
die Eile	поспешность
eilig	поспешный
mittler-	посреднический
die Vermittlung, -en	посредничество
liefern, liefert, lieferte, hat geliefert	поставлять
der Anbieter, -	поставщик услуг
das Bett, -en	постель
das Poster, -	постер
ständig	постоянный
die Taste, -n	поступок
das Geschirr, -е	посуда
schicken, schickt, schickte, hat geschickt	посылать
senden, sendet, sendete/ sandte, hat gesendet/ gesandt	посылать
mailen	посылать сообщение по электронной почте
der Verlust, -e	потеря
der Verlierer, - die Verliererin, -nen	потерявший
verlieren, verliert, verlor, hat verloren	потерять
schwitzen, schwitzt, schwitzte, hat geschwitzt	потеть
weil	потому что
der Konsum	потребление
konsumieren, konsumiert, konsumierte, hat konsumiert	потреблять
verbrauchen, verbraucht, verbrauchte, hat verbraucht	потреблять
der Bedarf, -(e)s	потребность
der Gang, ¨-e	походка
ähnlich	похожий
der Kuss, ¨-e	поцелуй
warum	почему
weshalb	почему
wieso	почему
worüber	почему
die Reparatur, -en	починка
die Post	почта
der Briefträger, → CH: die Briefträgerin, -nen Pöstler	почтальон
der Pöstler, - / die Pöstlerin, -nen (CH) → Briefträger	почтальон
beinahe	почти
fast	почти
die Briefmarke, -n	почтовая марка
die Postleitzahl, -en	почтовый индекс
der Briefkasten, ¨-	почтовый ящик
der Zoll, ¨-e	пошлина
deshalb	поэтому
deswegen	поэтому
die Zone, -n	пояс клим
die Wahrheit, -en	правда
zwar	правда
die Regel, -n	правило
korrekt	правильный
richtig	правильный
die Regierung, -en	правительство
der Anspruch, ¨-e	право
das Recht, -e	право на
die Vorfahrt	право преимущественного проезда
recht-	право сторонний
rechtlich	правовой
recht	правый
die Feier, -n	праздник
das Fest, -e	праздник
der Feiertag, -(e)s, -e	праздник ежегодный
feiern, feiert, feierte, hat gefeiert	праздновать
das Praktikum, Praktika	практика
die Praxis, Praxen	практика врача
die Praxis, Praxen → A: Ordination	практика врача
der Praktikant, -en die Praktikantin, -nen	практикант
praktisch	практический
der Aufenthalt, -e	пребывание
perfekt	превосходный
vorläufig	предварительный
anbieten, bietet an, bot an, hat angeboten	предлагать
bieten, bietet, bot, hat geboten	предлагать
präsentieren	предлагать
vorschlagen, schlägt vor, schlug vor, hat vorgeschlagen	предлагать
das Angebot, -e	предложение
der Satz, ¨-e	предложение
der Vorschlag, ¨-e	предложение
der Gegenstand, ¨-e	предмет
warnen, warnt, warnte, hat gewarnt	предостерегать
verhindern, verhindert, verhinderte, hat verhindert	предотвратить
die Vorschrift, -en	предписание
die Voraussetzung, -en	предплоложение
voraussichtlich	предполагаемый
vermuten, vermutet, vermutete, hat vermutet	предполагать
der Unternehmer, - die Unternehmerin, -nen	предприниматель
unternehmen, unternimmt, unternahm, hat unternommen	предпринимать
der Betrieb, -e	предприятие
die Wettervorhersage, -n	предсказание
der Vertreter, - die Vertreterin, -nen	представитель
die Vorstellung, -en	представление
die Ahnung	предчувствие
bevor	прежде чем
die Präsentation, -en E	презентация
die Präsentation, -en	презентация
der Vorteil, -e	преимущество
aufhören, hört auf, hörte auf, hat aufgehört	прекращаться
übernachten, übernachtet, übernachtete, hat übernachtet	преночевать
unterrichten, unterrichtet, unterrichtete, hat unterrichtet	преподавать
behindern, behindert, behinderte, hat behindert behindert	препятствовать
unterbrechen, unterbricht, unterbrach, hat unterbrochen	прерывать
die Presse	пресс
der Täter, - die Täterin, -nen	преступник
der Verbrecher, - die Verbrecherin, -nen	преступник
realisieren, realisiert, realisierte, hat realisiert	претворять в жизнь
übertreiben, übertreibt, übertrieb, hat übertrieben	преувеличивать
dabei	при этом
der Zuschlag, ¨-e	прибавка
sich nähern, nähert sich, näherte sich, hat sich genähert	приближаться
das Gerät, -e	прибор
ankommen, kommt an, kam an, ist angekommen	прибывать
der Gewinn, -e	прибыль
die Ankunft	прибытие
der Gruß, ¨-e	приветствие
begrüßen, begrüßt, begrüßte, hat begrüßt	приветствовать
aufführen, führt auf, führte auf, hat aufgeführt	приводить
die Gewohnheit, -en	привычка
gewohnt	привычный
die Einladung, -en	приглашение
geeignet (zu D, für A)	пригодный к чемул
der Vorort, -e	пригород
der Vorort, -e	пригород
der Empfang, ¨-e	прием
die Notaufnahme, -n	приемное отделение неотложной помощи
die Ordination, -en (A) → Sprechstunde	приемные часы
die Sprechstunde, -n → A: Ordination	приемные часы
die Landung, -en	приземление
anerkennen, erkennt an, erkannte an, hat anerkannt	признавать
das Abenteuer, -	приключение
fleißig	прилежный
anwenden, wendet an, wandte an, hat angewandt/ angewendet	применять к чемул
das Beispiel, -e	пример
circa/zirka	примерно
etwa	примерно
ungefähr	примерно
gehören, gehört, gehörte, hat gehört (zu D)	принадлежать
annehmen, nimmt an, nahm an, hat angenommen	принимать
akzeptieren, akzeptiert, akzeptierte, hat akzeptiert	принимать
empfangen, empfängt, empfing, hat empfangen	принимать
übernehmen, übernimmt, übernahm, hat übernommen	принимать
beachten, beachtet, beachtete, hat beachtet	принимать во внимание
(sich) duschen, duscht, duschte, hat geduscht	принимать душ
zusagen, sagt zu, sagte zu, hat zugesagt	принимать приглашение
bringen, bringt, brachte, hat gebracht	приносить
holen, holt, holte, hat geholt	приносить
der Drucker, -	принтер
(sich) zwingen, zwingt, zwang, hat gezwungen	принуждать
sich entschließen, entschließt sich, entschloss sich, hat sich entschlossen	принять решение
anschaffen, schafft an, schaffte an, hat angeschafft	приобретать
die Natur	природа
anstellen, stellt an, stellte an, hat angestellt	приставлять
anschnallen, schnallt an, schnallte an, hat angeschnallt	пристегивать
anwesend	присутствующий
gewöhnen, gewöhnt, gewöhnte, hat gewöhnt/ ist gewöhnt (an А)	приучать к чемул когол
die Einnahme, -n	приход
kommen, kommt, kam, ist gekommen	приходить
die Frisur, -en	прическа
die Ursache, -n	причина
verursachen, verursacht, verursachte, hat verursacht	причинять ущерб
angenehm	приятный
das Problem, -e	проблема
kosten, kostet, kostete, hat gekostet (A) → D, CH: probieren	пробовать
schmecken, schmeckt, schmeckte, hat geschmeckt	пробовать
die Prüfung, -en	проверка экзамен
prüfen, prüft, prüfte, hat geprüft	проверять
überprüfen, überprüft, überprüfte, hat überprüft	проверять
verbringen, verbringt, verbrachte, hat verbracht	проводить время
begleiten, begleitet, begleitete, hat begleitet	провожать
das Programm, -e	программа
die Software, -s	программное обеспечение
der Spaziergang, ¨-e	прогулка
die Wanderung, -en	прогулка
verkaufen, verkauft, verkaufte, hat verkauft	продавать продаваться
der Verkäufer, - die Verkäuferin, -nen	продавец
fortsetzen, setzt fort, setzte fort, hat fortgesetzt	продолжать дело
die Fortsetzung, -en	продолжение
die Fortbildung, -en	продолжение обучение
das Produkt, -e	продукт
das Nahrungsmittel, -	продукт питания
die Lebensmittel (Pl.)	продукты питания
die Fahrkarte, -n → CH: Billett	проездной билет
passieren, passiert, passierte, ist passiert	проезжать
die Fahrbahn, -en	проезжая часть дороги
das Projekt, -e	проект
der Hersteller, -	производитель
herstellen, stellt her, stellte her, hat hergestellt	производить
produzieren, produziert, produzierte, hat produziert	производить
der Betriebsrat, ¨-e die Betriebsrätin, -nen	производственный совет
die Produktion, -en	производство
aussprechen, spricht aus, sprach aus, hat ausgesprochen	произносить
die Aussprache	произношение
sich ereignen, ereignet sich, ereignete sich, hat sich ereignet	происходить
stammen, stammt, stammte, hat gestammt	происходить
vorkommen, kommt vor, kam vor, ist vorgekommen	происходить
die Herkunft	происхождение
umso	пропорциональное усиление и употр с  или 
das Faschierte (A) → D, CH: Hackfleisch	пропускать через мясорубку
bitten, bittet, bat, hat gebeten	просить
der Prospekt, -e	проспект
einfach	простой
einfach	простой
der Raum, ¨-e	пространство
die Erkältung, -en	простуда
sich erkälten, erkältet sich, erkältete sich, hat sich erkältet	простужать
erkältet	простуженный
aufwachen, wacht auf, wachte auf, ist aufgewacht	просыпаться
die Bitte, -n	просьба
der Protest, -e	протест
protestieren, protestiert, protestierte, hat protestiert	протестовать
dagegen	против этого
der Gegner, -	противник
der Gegensatz, ¨-e	противоположность
das Gegenteil, -e	противоположность
umgekehrt	противоположный
die Berufsschule, -en	профессиональное училище
beruflich	профессиональный
die Gewerkschaft, -en	профессиональный союз
der Beruf, -e	профессия
der Professor, -en die Professorin, -nen	профессор
der Profi, -s	профи
kühl	прохладный
1 % = ein Prozent	процент
die Zinsen (nur Pl.)	проценты
der Prozess, -e	процесс
weg/weg-	прочь
die Vergangenheit, -en	прошлое
verzeihen, verzeiht, verzieh, hat verziehen	прощать
die Verzeihung	прощение
springen, springt, sprang, ist gesprungen	прыгать
geradeaus	прямо
direkt	прямой
das Gewürz, -e	пряность
(sich) verstecken, versteckt, versteckte, hat versteckt	прятать
der Vogel, ¨-	птица
das Publikum	публика
erschrecken, erschrickt, erschrak, ist erschrocken/ jdn. erschrecken, erschreckt, erschreckte, hat erschreckt	пугать
der Knopf, ¨-e	пуговица
der Pullover, -	пуловер
pünktlich	пунктуальный
lassen, lässt, ließ, hat gelassen	пустить
leer	пустой
mögen, mag, mochte, hat gemocht	пусть
möchten, möchte, mochte, hat gemocht	пусть любить
reisen, reist, reiste, ist gereist	путешествовать
die Bahn, -en	путь
die Biene, -n	пчела
der Staub, Stäube	пыль
probieren, probiert, probierte, hat probiert	пытаться
versuchen, versucht, versuchte, hat versucht	пытаться
betrunken	пьяный
der Freitag, freitags, am Freitag	пятница
der Fleck, -en	пятно
die Arbeit, -en	работа
der Traumberuf, -e	работа мечты
die Teilzeit	работа неполный рабочий день
arbeiten, arbeitet, arbeitete, hat gearbeitet	работать
berufstätig	работающий по специальности
der Arbeiter, - die Arbeiterin, -nen	работний
der Arbeitsplatz, ¨-e	рабочее место
der Wochentag, -(e)s, -e	рабочий
der Alltag, -(e)s	рабочий день
gleichberechtigt	равноправный
egal	равный
gleich	равный
meinetwegen	ради меня
das Radio, -s	радиоприемник
der Sender, -	радиостанция
sich freuen, freut sich, freute sich, hat sich gefreut	радоваться
lustig	радостный
die Freude, -n	радость
mal	раз
das Mal, -e	раз
geschieden	разведенный
geschieden	разведенный
entwickeln, entwickelt, entwickelte, hat entwickelt	развивать
die Entwicklung, -en	развитие
sich vergnügen, vergnügt sich, vergnügte sich, hat sich vergnügt	развлекаться
die Scheidung, -en	развод
sich scheiden lassen, lässt sich scheiden, ließ sich scheiden, hat sich scheiden lassen	разводиться
das Gespräch, -e	разговор
die Rede, -n	разговор
verteilen, verteilt, verteilte, hat verteilt	раздавать
der Ärger	раздражение
erkennen, erkennt, erkannte, hat erkannt	различать
unterscheiden, unterscheidet, unterschied, hat unterschieden	различать
der Unterschied, -e	различие
verschieden	различный
unterschiedlich	разный
die Enttäuschung, -en	разочарование
enttäuschen, enttäuscht, enttäuschte, hat enttäuscht	разочаровывать
der Durchschnitt, -e	разрез
entscheiden, entscheidet, entschied, hat entschieden	разрешать
erlauben, erlaubt, erlaubte, hat erlaubt	разрешать
die Erlaubnis	разрешение
die Arbeitserlaubnis	разрешение на работу
zerstören, zerstört, zerstörte, hat zerstört	разрушать
vernünftig	разумный
der Bereich, -e	район
die Wunde, -n	рана
früh	ранний
eher	раньше
früher/früher-	раньше
vorher	раньше
verraten, verrät, verriet, hat verraten	раскрыть
der Beleg, -e	расписка
ordnen, ordnet, ordnete, hat geordnet	располагать
die Laune, -n	расположение духа
der Tagesablauf, ¨-e	распорядок дня
die Erzählung, -en	рассказ
erzählen, erzählt, erzählte, hat erzählt	рассказывать
entspannend	расслаблять
zuschauen	рассматривать
die Nachfrage, -n	расспрашивание
der Abschied, -e	расставание
die Entfernung, -en	расстояние
die Strecke, -n	расстояние
rechnen, rechnet, rechnete, hat gerechnet	рассчитывать
auflösen, löst auf, löste auf, hat aufgelöst	растворять
die Pflanze, -n	растение
wachsen, wächst, wuchs, ist gewachsen	расти
kündigen, kündigt, kündigte, hat gekündigt	расторгать
die Kündigung, -en	расторжение
die Kosten (Pl.)	расходы
die Rechnung, -en	расчет
das Girokonto, -en	расчетный счет
das Rathaus, ¨-er	ратуша
reagieren, reagiert, reagierte, hat reagiert	реагировать
die Reaktion, -en	реакция
realistisch	реалистический
die Mittelschule, -en	реальное училище
die Realschule, -en	реальное училище
die Realität, -en	реальность
das Kind, -er	ребенок
regional	региональный
regeln, regelt, regelte, hat geregelt	регулировать
regelmäßig	регулярный
selten	редкий
(sich) schneiden, schneidet, schnitt, hat geschnitten	резать
das Ergebnis, -se	результат
die Leistung, -en	результат работы
der Fluss, ¨-e	река
die Reklame, -n	реклама
die Werbung, -en	реклама
der Spot, -s	рекламный ролик
die Empfehlung, -en	рекомендация
empfehlen, empfiehlt, empfahl, hat empfohlen	рекомендовать
der Rekord, -e	рекорд
die Religion, -en	религия
das Gleis, -e	рельс
der Handwerker, - die Handwerkerin, -nen	ремесленник
die Rente, -n (D, CH) → A, CH: Pension	рента
probieren, probiert, probierte, hat probiert (D, CH) → A: kosten	репетировать
die Reportage, -n	репортаж
der Reporter, - die Reporterin, -nen	репортер
das Restaurant, -s	ресторан
die Reform, -en	реформа
das Rezept, -e	рецепт
beschließen, beschließt, beschloss, hat beschlossen	решать
die Lösung, -en	решение
die Entscheidung, -en	решение
die Lösung, -en	решение
das Urteil, -e	решение суда
entschlossen	решительный
lösen	решить задачу
der Reis	рис
das Risiko, Risiken	риск
die Zeichnung, -en	рисование
malen, malt, malte, hat gemalt	рисовать
zeichnen, zeichnet, zeichnete, hat gezeichnet	рисовать чертить
die Heimat	родина
die Eltern (Pl.)	родители
Schwiegereltern, Schwiegermutter (vater, sohn, tochter)	родители супруга
geboren werden, wird geboren, wurde geboren, ist geboren worden	родиться
das Heim, -e	родной дом
die Muttersprache, -n	родной язык
der Verwandte, -n die Verwandte, -n	родственник
der Angehörige, -n die Angehörige, -n	родственники
verwandt	родственный
die Geburt, -en	роды
das Weihnachten	Рождество
die Rose, -n	роза
die Steckdose, -n	розетка штепсельная
rosa	розовый
die Recherche, -n	розыск
die Rolle, -n	ролик
der Roman, -e	роман жанр
der Mund, ¨-er	рот
das Hemd, -en	рубашка
das Hackfleisch (D, CH) → A: Faschierte	рубленое мясо
schimpfen, schimpft, schimpfte, hat geschimpft	ругать
der Arm, -e	рука
die Hand, ¨-e	руки
der Leiter, - die Leiterin, -nen	руководитель
die Leiter, -n	руководитель
der Manager, -/die Managerin, -nen	руководитель крупного предприятия 
die Anleitung, -en	руководство
die Bedienungsanleitung, -en	руководство
die Führung, -en	руководство
die Leitung, -en	руководство
der Fisch, -e	рыба
der Markt, ¨-e	рынок
der Rucksack, ¨-e	рюкзак
die Reihe, -n	ряд
daneben	рядом
per	с
seit	с
andererseits	с другой стороны
einerseits	с одной стороны
seitdem	с тех пор
eckig	с углами
gern/gerne	с удовольствием
damit	с этим
der Garten, ¨-	сад
einsteigen, steigt ein, stieg ein, ist eingestiegen	садиться в машину и пр
pflanzen, pflanzt, pflanzte, hat gepflanzt	сажать
(sich) setzen, setzt, setzte, hat gesetzt	сажать
der Salat, -e	салат блюдо
der Salon, -s	салон
selbst	сам
selbstverständlich	само собой разумеющийся
höchstens	самое большее
spätestens	самое позднее
das Flugzeug, -e	самолет
selber	самостоятельно
selbstständig	самостоятельный
nächst-	самый близкий
längst	самый длинный
der Krankenpfleger, -	санитар
der Pfleger, - die Pflegerin, -nen	санитар
die Krankenschwester, -n	санитарка
der Stiefel, -	сапог
der Zucker	сахар
die/das Glace/Glacé, -n (CH) → D, A: Eis das Glas, ¨-er	сахарная глазурь
das/der (Schlag-)Obers (A) → D: (Schlag-)Sahne; CH: (Schlag-)Rahm	сбитые сливки
die Hochzeit, -en	свадьба
frisch	свежий
blitzen, blitzt, blitzte, hat geblitzt	сверкать
die Überstunde, -n	сверхурочный час
das Licht, -er	свет
der Schein, -e	свет
scheinen, scheint, schien, hat geschienen	светить
hell-	светлый
hell	светлый
die Kerze, -n	свеча
der Zeuge, -n die Zeugin, -nen	свидетель
das Schwein, -e	свинья
die Freiheit	свобода
die Freizeit	свободное время
frei	свободный
los/los-	свободный
rechtzeitig	своевременный
abbiegen, biegt ab, bog ab, ist abgebogen	сворачивать
die Kommunikation, -en	связь
die Verbindung, -en	связь
der Zusammenhang, ¨-e	связь
aufgeben, gibt auf, gab auf, hat aufgegeben	сдавать
vermieten, vermietet, vermietete, hat vermietet	сдавать в аренду
die Aufgabe, -n	сдача багажа и т п 
die Vermietung, -en	сдача в аренду
verschieben, verschiebt, verschob, hat verschoben	сдвигать
sich verhalten, verhält sich, verhielt sich, hat sich verhalten	сдерживать
der Norden, Nord-/nördlich	север
heute	сегодня
heute ist der 1. März	сегодня 1 марта
heutig-	сегодняшний
die Saison, -s	сезон
sofort	сейчас
der Sekretär, -e die Sekretärin, -nen	секретарь
die Sekunde, -n	секунда
die Landwirtschaft	сельское хозяйство
der Familienstand (D, A) → Personenstand; CH: Zivilstand	семейное положение
das Seminar, -e	семинар
die Familie, -n	семья
der September	сентябрь
der Service	сервиз
herzlich	сердечный
das Herz, -en	сердце
die Mitte	середина
die Serie, -n	серия
das Zertifikat, -e	сертификат
grau	серый
ernst	серьезный
ernsthaft	серьезный
die Schwester, -n	сестра
das Netzwerk, -e	сети
das Netz, -e	сеть
(sich) verbrennen, verbrennt, verbrannte, hat verbrannt	сжигать
hinten	сзади
die Zigarette, -n	сигарета
der Alarm, -e	сигнал тревоги
hupen, hupt, hupte, hat gehupt	сигналить
der Sitz, -e	сиденье
sitzen, sitzt, saß, hat/ist gesessen	сидеть
die Kraft, ¨-e	сила
das, der Silvester, -s, -	Сильвестр праздник встречи Нового года
